season,team_id,team_name,games,pass_att,completions,pass_yards,pass_td,interceptions,rush_att,rush_yards,rush_td,yards_per_reception,td_per_reception,qb_rush,rb_rush,other_rush,model_version
2026,CFF_TTU,Texas Tech,12.0,430.9843,276.8519,3289.0253,25.3083,9.7183,456.0519,2115.9726,23.7293,11.8801,0.0914,92.9673,315.2288,47.8559,v1.0
2026,CFF_UCF,UCF,12.0,377.4885,229.0343,2805.3235,19.2155,9.9063,421.5389,2081.2512,21.9497,12.2485,0.0839,104.0796,279.31,38.1493,v1.0
2026,CFF_UTAH,Utah,12.0,358.4251,220.4901,2625.7591,22.0696,9.0439,463.3257,2439.8744,22.9355,11.9087,0.1001,145.0067,290.9368,27.3822,v1.0
2026,CFF_WVU,West Virginia,12.0,336.0888,205.2595,2443.9357,15.7062,10.0387,501.5156,2152.1388,24.1882,11.9066,0.0765,173.9268,289.2849,38.3039,v1.0
2026,CFF_ALA,Alabama,12.0,390.584,250.5054,3053.465,21.0879,8.9299,396.2809,1566.6321,21.8494,12.1892,0.0842,104.8287,261.4804,29.9718,v1.0
2026,CFF_ARK,Arkansas,12.0,378.2196,236.7522,2991.6168,19.4445,9.3961,418.4389,2092.6713,23.2946,12.6361,0.0821,123.006,278.6439,16.7889,v1.0
2026,CFF_AUB,Auburn,12.0,367.0888,234.7867,3006.4353,22.0917,8.4813,430.2586,2019.693,19.8677,12.805,0.0941,135.2184,272.8781,22.1621,v1.0
2026,CFF_FLA,Florida,12.0,360.8304,225.6327,2626.1144,18.5084,11.6881,404.3744,1774.1756,17.6477,11.6389,0.082,83.6301,306.3741,14.3702,v1.0
2026,CFF_UGA,Georgia,12.0,380.613,254.4317,2844.9926,21.5936,8.3667,452.2291,1971.9665,23.5258,11.1818,0.0849,101.1772,324.2943,26.7576,v1.0
2026,CFF_UK,Kentucky,12.0,357.3539,218.9833,2584.9268,17.8501,11.8795,428.7433,1772.266,18.5519,11.8042,0.0815,109.3329,298.1461,21.2643,v1.0
2026,CFF_LSU,LSU,12.0,412.2952,259.7292,2974.6737,20.4079,8.2151,369.5479,1437.7991,15.045,11.453,0.0786,67.755,278.1932,23.5997,v1.0
2026,CFF_MISS,Ole Miss,12.0,398.437,259.9657,3586.1411,22.1506,7.8162,444.6062,2042.0552,25.1745,13.7947,0.0852,117.9263,294.3556,32.3243,v1.0
2026,CFF_MSST,Mississippi State,12.0,363.9325,221.3464,2681.3317,18.5021,9.7484,475.0952,1887.5711,23.418,12.1137,0.0836,92.8849,365.2489,16.9614,v1.0
2026,CFF_MIZ,Missouri,12.0,347.1113,219.2255,2483.3655,16.0408,8.2957,493.9629,2428.5994,25.3808,11.3279,0.0732,106.9259,369.7137,17.3233,v1.0
2026,CFF_OU,Oklahoma,12.0,382.1802,237.133,2655.6358,17.4938,8.8617,420.8628,1591.8365,18.342,11.1989,0.0738,159.7098,243.5675,17.5855,v1.0
2026,CFF_SC,South Carolina,12.0,339.2466,212.1699,2703.3084,16.5938,8.9603,432.4349,1665.9716,19.4903,12.7412,0.0782,157.5064,251.3797,23.5489,v1.0
2026,CFF_TENN,Tennessee,12.0,385.9449,248.2865,3012.3467,21.3469,8.901,470.0365,2215.0059,26.567,12.1325,0.086,100.3264,355.4786,14.2316,v1.0
2026,CFF_TEX,Texas,12.0,390.77,245.3,3060.5847,24.577,8.6232,404.2456,1762.5873,18.7773,12.4769,0.1002,84.5379,303.2702,16.4374,v1.0
2026,CFF_TAMU,Texas A&M,12.0,365.2263,222.5723,2903.8989,20.9763,10.6453,459.3705,2187.5508,23.6512,13.047,0.0942,109.5622,315.4588,34.3494,v1.0
2026,CFF_VAN,Vanderbilt,12.0,346.8289,222.6177,2744.4155,21.1464,7.4093,391.5526,1930.7215,22.1114,12.3279,0.095,134.3198,227.4872,29.7455,v1.0
2026,CFF_ND,Notre Dame,12.0,329.7483,219.7628,2774.4772,20.8578,6.9749,419.2797,2207.065,26.6705,12.6249,0.0949,73.2077,333.6205,12.4515,v1.0
