id,name,team,position,aliases,espn_id,rank,depth_pos,depth_order,injury_status,years_exp,age,adp,adp_stdev
nfl-11665,Jared Verse,CLE,DL,,,101,RDE,1,,2,25,,
nfl-12886,Jeremiah Byers,CLE,OL,,,9999999,OL,,,1,25,,
nfl-7651,Jeremiah Owusu-Koramoah,CLE,LB,,,999,LB,,PUP,5,26,,
nfl-6783,Jerry Jeudy,CLE,WR,,4241463,160,WR,1,,6,27,134.5,8.8
nfl-13435,Joe Royer,CLE,TE,,,9999999,TE,2,,0,24,,
nfl-6851,Julian Okwara,CLE,LB,,4046690,9999999,RDE,2,,6,28,,
nfl-13524,Justin Jefferson,CLE,LB,,,9999999,WR,1,,0,23,,
nfl-13298,KC Concepcion,CLE,WR,K.C. Concepcion,,116,WR,2,Questionable,0,21,128.3,9.9
nfl-11817,KT Leveston,CLE,OL,K.T. Leveston,,9999999,OL,,,2,26,,
nfl-8375,Kalia Davis,CLE,DL,,,9999999,LDT,2,,4,27,,
nfl-7692,Kendrick Green,CLE,C,,,9999999,OL,,,5,27,,
nfl-13747,Khordae Sydnor,CLE,DL,,,9999999,DL,,,0,,,
nfl-12384,Kingsley Eguakun,CLE,OL,,,9999999,OL,,Questionable,2,25,,
nfl-13749,Kole Wilson,CLE,WR,,,9999999,WR,11,,0,22,,
nfl-13601,Logan Fano,CLE,DE,,,9999999,RDE,3,,0,24,,
nfl-13189,Luke Floriea,CLE,WR,,,9999999,WR,10,,1,24,,
nfl-11013,Luke Wypler,CLE,OL,,,9999999,OL,,,3,25,,
nfl-11617,Malachi Corley,CLE,WR,,,999,WR,7,,2,24,,
nfl-3236,Maliek Collins,CLE,DT,,3040471,9999999,LDT,1,PUP,10,31,,
nfl-12573,Mason Graham,CLE,DL,,,999,RDT,1,,1,22,,
nfl-2471,Michael Burton,CLE,FB,,2515270,999,FB,1,,11,34,,
nfl-13751,Michael Coats,CLE,CB,,,9999999,RCB,3,,0,25,,
nfl-11692,Mike Hall,CLE,DT,,,9999999,RDT,2,,2,23,,
nfl-6946,Myles Bryant,CLE,DB,,4039010,9999999,NB,2,,6,28,,
nfl-11836,Myles Harden,CLE,DB,,,9999999,NB,1,,2,24,,
nfl-13953,Nate Evans,CLE,CB,,,9999999,LCB,3,,0,,,
nfl-11790,Nathaniel Watson,CLE,LB,,,9999999,MLB,2,Questionable,2,25,,
nfl-12393,Nik Constantinou,CLE,P,,,9999999,P,,,2,26,,
nfl-13526,Parker Brailsford,CLE,C,,,9999999,OL,,,0,22,,
nfl-6214,Quincy Williams,CLE,LB,,3110565,317,LOLB,1,,7,29,,
nfl-12512,Quinshon Judkins,CLE,RB,,,45,RB,1,,1,22,49.4,5.4
nfl-12472,Raheim Sanders,CLE,RB,,,999,RB,3,,1,24,,
nfl-14046,Reid Carrico,CLE,LB,,,9999999,LB,,,0,23,,
nfl-7498,Rex Sunahara,CLE,LS,,,9999999,LS,,,6,29,,
nfl-11352,Ronnie Hickman,CLE,DB,,,9999999,FS,1,,3,24,,
nfl-7844,Sam Kamara,CLE,LB,,,9999999,RDT,3,,5,28,,
nfl-12524,Shedeur Sanders,CLE,QB,,,222,QB,2,,1,24,,
nfl-13450,Spencer Fano,CLE,OT,,,9999999,OL,,,0,21,,
nfl-13306,Taylen Green,CLE,QB,,,999,QB,4,,0,23,,
